"contest_num","nickname","passed_time"
1,andreiAP,457980
1,andreiAP,457920
1,a.m.tsitulskiy,457380
1,a.m.tsitulskiy,457320
1,BasharovIlya,457200
1,Arhimisha,457080
1,androidegsensation,456900
1,indigo7,456840
1,Alexander_Koshelev,456360
1,JunkieStyle,456180
1,JunkieStyle,456060
1,vl.n.ermakov,456000
1,maryia,455940
1,maryia,455760
1,vl.n.ermakov,455640
1,a.m.tsitulskiy,455280
1,Alexander_Koshelev,454980
1,JunkieStyle,454800
1,Alexander_Koshelev,454800
1,JunkieStyle,454680
1,"8michelle_weiss",454680
1,"8michelle_weiss",454560
1,maryia,454560
1,vivaXAPOH,454500
1,"8michelle_weiss",454500
1,vovchik_zh,453780
1,maryia,453600
1,maryia,453240
1,maryia,453120
1,Andrei_Belenko,452700
1,Andrei_Belenko,452340
1,FarSir,452280
1,FarSir,452220
1,JunkieStyle,452160
1,FarSir,452100
1,JunkieStyle,452100
1,FarSir,452100
1,FarSir,451980
1,JunkieStyle,451920
1,JunkieStyle,451860
1,JunkieStyle,451800
1,JunkieStyle,451740
1,maryia,451380
1,vovchik_zh,451380
1,Alexander_Koshelev,451320
1,linatka,451320
1,vovchik_zh,451140
1,JunkieStyle,450840
1,JunkieStyle,450840
1,JunkieStyle,450780
1,Alexander_Koshelev,449700
1,irinka_ta,449520
1,JunkieStyle,449520
1,Alexander_Koshelev,449520
1,vovchik_zh,449220
1,vovchik_zh,448680
1,linatka,448620
1,JunkieStyle,448440
1,Alexander_Koshelev,448320
1,aorew,448320
1,JunkieStyle,448320
1,aorew,448260
1,JunkieStyle,448200
1,maryia,448080
1,Alexander_Koshelev,448080
1,maryia,448020
1,Alexander_Koshelev,447960
1,maryia,447960
1,linatka,447900
1,Alexander_Koshelev,447840
1,a.m.tsitulskiy,447540
1,a.m.tsitulskiy,447540
1,irinka_ta,447540
1,Alexander_Koshelev,447480
1,Alexander_Koshelev,447240
1,a.m.tsitulskiy,447180
1,BasharovIlya,447000
1,a.m.tsitulskiy,447000
1,albert_goryaeff,446760
1,a.m.tsitulskiy,446580
1,albert_goryaeff,446460
1,BasharovIlya,446400
1,BasharovIlya,446400
1,irinka_ta,446040
1,vivaXAPOH,445920
1,irinka_ta,445860
1,"8michelle_weiss",445860
1,vivaXAPOH,445800
1,vovchik_zh,445500
1,FarSir,445500
1,FarSir,445440
1,vovchik_zh,445440
1,vovchik_zh,445200
1,a.m.tsitulskiy,444840
